name,address,category,veryPrice,paymentRatio,link
Material,Millennium city  high field estate no 6 kasuwan dole,미용,50,50%,https://pay.verychat.io/shops/RLsSI
Toko beras sri rizki,"Jl.tambak pamarayan,kp.baru,kec.pamarayan,kabupaten serang,banten 42716",기타,10,50%,https://pay.verychat.io/shops/gvHtm
POS,Igboyi area Ogbomoso,식당/카페,0.1,70%,https://pay.verychat.io/shops/oRyvH
Abramsolo,Tudun gwandara kana street lafia nasarawa state,패션/잡화,AUD $0.1,15%,https://pay.verychat.io/shops/CsELa
Weseydollar Enterprises,No. 37 buari street mushin Lagos,기타,0.003$,50%,https://pay.verychat.io/shops/wGWGW
레노마홈 진주정촌점,진주시 정촌면 삼일로 122번길 9-15,패션/잡화,10원,50%,https://pay.verychat.io/shops/RNmGz
Cream and lotion vendor,Obafemi Awolowo University,기타,0.007,50%,https://pay.verychat.io/shops/fQgrM
Baso Rudal Sukses 354,"Jl. Sukamenak No.87, Sukamenak, Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40227",식당/카페,$1,50%,https://pay.verychat.io/shops/GRqia
Natural supplements (GHT)  and perfumes,"Pantami, Gombe",미용,0.004$,30%,https://pay.verychat.io/shops/BtJoD
Akofa's Fabrics,"C4FJ+36C Bagabaga College of Education, P. O. Box ER 35, Tamale",패션/잡화,AUD $0.1,25%,https://pay.verychat.io/shops/mEYGb
Madiun Martial Art Store,Kanigoro madiun,취미/도서,10.000,60%,https://pay.verychat.io/shops/qymXv
GG PHONE STORE,"Shop no 035 phone centre, zuru,872101,kebbi, Nigeria",기타,10 naira,50%,https://pay.verychat.io/shops/rxgYm
Momka investment agencies,"49 David Ejoor street gudu district by adisa estate, house 14 FCT- Abuja.",기타,10,50%,https://pay.verychat.io/shops/Zlizs
Alexis salon,"Challenge Ilorin , Kwara state",기타,0.007,45%,https://pay.verychat.io/shops/IFAuL
Niraj Hair Dresser,"Baniya Marg, Tilottoma 1, Rupandehi, Nepal",미용,-,-,https://pay.verychat.io/shops/GfNvS
Oluwa Feranmi Affiliate marketing business,Lautech Ogbomoso,기타,0.0007,50%,https://pay.verychat.io/shops/rFUGc
삼일공업사,서울 도봉구 도봉로154길 6,기타,10원,50%,https://pay.verychat.io/shops/bvZyQ
Mai Katako,Yankatako Market,기타,0.1,50%,https://pay.verychat.io/shops/VOHJj
탐탐뮤직스튜디오,울산 중구 곽남14길 29 1층,취미/도서,문의,-,https://pay.verychat.io/shops/KlZxC
무등소갈비 고창점,전북특별자치도 고창군 고창읍 중앙로 281,식당/카페,10원,100%,https://pay.verychat.io/shops/QbaAU
Smooth rides interprise,Udemezue junction water works road abakaliki,기타,$1,50%,https://pay.verychat.io/shops/iLPwa
Graphic Designing,"Near Okpoko IV 431104, Anambra",기타,$2,50%,https://pay.verychat.io/shops/ZaKwT
Thakuri Traders,"Belbari-7 Bahuni Bazar, Morang, Nepal",기타,1NPR,50%,https://pay.verychat.io/shops/WmAhT
Roti Gaban,Desa Jayamakmur Kecamatan Jayakerta Kabupaten Karawang,식당/카페,-,-,https://pay.verychat.io/shops/AmeFz
Nanabananasurf,"Jl. Poppies I, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",취미/도서,10000,50%,https://pay.verychat.io/shops/Wsuwb
보림필방,광주광역시 동구 중앙로 196번길 15-35,취미/도서,10,100%,https://pay.verychat.io/shops/xiHvH
YHAWCUE STORES,HPX8+F4X Kwashieman,패션/잡화,Gh¢12,50%,https://pay.verychat.io/shops/DaTod
Provision and goods seller,Takie area Ogbomoso,기타,0.007,50%,https://pay.verychat.io/shops/SlPYu
Provision and Elactri Engineering,Kano Dorayi karama garejin kamilu sheik jafar road,기타,0.0025,50%,https://pay.verychat.io/shops/qLrLq
EBEN_VISUALS,NO 9 ZUBIA STREET ODUME LAYOUT OBOSI,기타,"200,000NGN",50%,https://pay.verychat.io/shops/lWLMG
AZ GADGET AND OTHERS,"ISIMEKHAI HOUSE SABO IYAKPI SOUTH-IBIE AUCHI CLOSE TO AUCHI POLYTECHNIC, AUCHI.",기타,0.50,50%,https://pay.verychat.io/shops/CgArV
CGlobals Fashion hub,"25, Onyebuchi Street off Ngwa road Aba, Abia State",패션/잡화,5,50%,https://pay.verychat.io/shops/PLtZE
PT. San Esha Arthamas,Jl. Bukit Kemiling Permai Komplek Rukan Springhill No.37. Kemiling - Kota Bandar Lampung - Provinsi Lampung - Indonesia,부동산/인테리어,$ 1,100%,https://pay.verychat.io/shops/etiMe
Dealer in Vetinary drugs,F7 kawo road kaduna. Nigeria,반려동물,Audio 1,50%,https://pay.verychat.io/shops/ahHUO
STYLE BY OPULENCE,"Bajulaiye road Somolu, Lagos State, Nigeria",패션/잡화,-,-,https://pay.verychat.io/shops/lnFdz
General and book store,Main road Mirok near Chandia ice factory Taulka city Miro Khan District kamber shahdadkot province Sindh Pakistan,사무기기,0.1$,40%,https://pay.verychat.io/shops/RdGTr
Akure transport,"18 Adeogun street Anfani, off ring road ibadan",여행/숙박,0.004,5%,https://pay.verychat.io/shops/aLQYl
R I stor,Anglo jos channel 7 plateau state,기타,0.0015,50%,https://pay.verychat.io/shops/TtUdM
Cosmetic shop,House no 1622 faislabad,미용,0.1,50%,https://pay.verychat.io/shops/gXmcp
Naza beauty salon,No 7 faith avenue rukpokwu port Harcourt,기타,500,50%,https://pay.verychat.io/shops/KpbET
Novest fashion perfect touch,053 ogbuefi crescent ifitedunu,패션/잡화,0.005,50%,https://pay.verychat.io/shops/jbpYj
Phone buy nd sell,Kofar fada kurfi,패션/잡화,50,50%,https://pay.verychat.io/shops/NyChn
Sell motorcycle,Niger state minna kuta road,기타,3 Naira,30%,https://pay.verychat.io/shops/WVDCM
진주자연농부,진주시 호탄동 860-1,기타,10,50%,https://pay.verychat.io/shops/buawK
The Entity,"No9 Mamah Street Orozo, AMAC, Abuja.",기타,0.004$,40%,https://pay.verychat.io/shops/HKVJy
Olamitoyo Tech Ltd,"Mini Estate, off irese road, Near Orange FMIrese, Akure, Ondo state, Akure, Akure North, Ondo",부동산/인테리어,0.15,100%,https://pay.verychat.io/shops/XTaLV
Essel Furniture,HPX8+65V Kwashieman,사무기기,60,5%,https://pay.verychat.io/shops/gMSSp
포천 세스바이오 포천점,포천시 호국로1161,기타,10,10%,https://pay.verychat.io/shops/syDxL
BILL GATES PHONES AND ELECTRONICS,"5.59925° N, 0.29047° W",패션/잡화,$0.4,5%,https://pay.verychat.io/shops/aZmZd
Legit Designs,JQQH+3QR Accra Achimota,기타,$0.001 USD,100%,https://pay.verychat.io/shops/JkHJM
OFFICIAL MARYAM THROW PILLOWS BAGS AND SHOES,"near imam Malik opposite new market, Zuru 872101, Kebbi",패션/잡화,10 naira,50%,https://pay.verychat.io/shops/KGcwb
Ibrahim phone Accessories,Bida niger state low-cost housing estate,미용,10#,50%,https://pay.verychat.io/shops/CSRhG
Blushandblend by fatyy,No 18 Ahmed Buruku road kinkinau Kaduna,미용,50,50%,https://pay.verychat.io/shops/CSCNN
AdeAlaayo couture,No 6 Mukandas street,패션/잡화,10naira,50%,https://pay.verychat.io/shops/wnQEJ
Susu kambing,kp garung celengkrang kabupaten bandung,의료/건강,1000,100%,https://pay.verychat.io/shops/HyyiV
호반,대구 군위군 삼국유사면 삼국유사로 438-32,식당/카페,10원,100%,https://pay.verychat.io/shops/AsDfG
RenZha Collection,"Jl Srinindito Raya no.53, ngemplaksimongan, semarang barat, jawa tengah, indonesia",패션/잡화,"Rp. 350.000,-",50%,https://pay.verychat.io/shops/qRNIY
Njoy collections,Ikpa road Uyo,패션/잡화,0.007,50%,https://pay.verychat.io/shops/QaOul
Body care products women’s beuty and herbal natural traditional beuty products for women items,Kano Dan dishe masallacin juma'a na yan izala,미용,50,50%,https://pay.verychat.io/shops/CxrAt
easy  care center,Janakpur dham,가전/게임,Aud250,100%,https://pay.verychat.io/shops/SDqbL
medical store,baijauli dhanaha syam deurawa maharajganj uttar pardesh-273306,가전/게임,-,-,https://pay.verychat.io/shops/gzuie
진주한우,"울산 울주군 범서읍 장검길 69-23, 1층 105호",식당/카페,10원,50%,https://pay.verychat.io/shops/TyUiO
XpertCreation,1-S-3B/2 Ghazali Park Wahdat Colony Lahore,기타,Pkr 1,100%,https://pay.verychat.io/shops/uGdDg
Peter Emmanuel POS business,"Adeniran Area, Beside Blind center Area Ogbomosho Oyo state",사주/타로,0.007,50%,https://pay.verychat.io/shops/tIWHG
New jasmin and service canter,"Gurbhakot-8, Surkhet nepal",사무기기,1 rupees,50%,https://pay.verychat.io/shops/vjZEL
Sari-sari Store,"Lireo, Coral na Munti Agoncillo, Batangas",기타,0.40,50%,https://pay.verychat.io/shops/GsKoF
Davis washing,35b Vinyard street jakande estate along ago,사무기기,5₦,50%,https://pay.verychat.io/shops/BgNUr
오토그린자동차,도봉로154길 33,기타,10,50%,https://pay.verychat.io/shops/Zhkut
Maryam mukhtar,No 16 kofan kona Zaria,패션/잡화,50,50%,https://pay.verychat.io/shops/jcKrl
티에스조명,경기도 오산시 외삼미로 151,가전/게임,7원,100%,https://pay.verychat.io/shops/MzLnR
Bakery sweet shop,"Amber cinema, Teliwara
Bulandshahr
Pincode 203001
U.P india",기타,Inr 10,50%,https://pay.verychat.io/shops/XvVUp
Global tech,Ilorin sabo oke,기타,50,50%,https://pay.verychat.io/shops/ERqkM
Morris Mensah,"PGH4+FX3, Ejisu",기타,0.01,30%,https://pay.verychat.io/shops/uFmib
Md korana store,Vill-karchali po-kanjia ps-bhandaria dist-garhwa jharkhand,가전/게임,-,-,https://pay.verychat.io/shops/NidXs
Boomcreation,25 shobowale alayo street ikorodu,기타,0.004,5%,https://pay.verychat.io/shops/UZDgI
Viper training camp,"Lingkungan Payaman, Giri, Kec. Giri, Kabupaten Banyuwangi, Jawa Timur 68423",기타,Idr 400000,50%,https://pay.verychat.io/shops/swAWn
Ciipta jaya shop,"Jl. Rancakasiat, Rancamulya, Kec. Pameungpeuk, Kabupaten Bandung, Jawa Barat 40375",패션/잡화,0.007$,50%,https://pay.verychat.io/shops/ryObb
Aman electronic,Ghogri AMARWARA Chhindwara Madhya Pradesh India 480221,기타,10,50%,https://pay.verychat.io/shops/ZCZhA
맥아더,경남 진주시 진주대로 1040번길 3,식당/카페,10원,50%,https://pay.verychat.io/shops/rwMIP
Indomie production company,"52/54, Trans Amadi Industrial Layout, Port Harcourt, Rivers, Nigeria",부동산/인테리어,$2,50%,https://pay.verychat.io/shops/IfDSB
Tama stores and more,Kwaru majalisa,여행/숙박,50,50%,https://pay.verychat.io/shops/GxQzy
Dan Shugabah Tailoring Designer,"Dan Shugabah Tailoring designer. Gombe, Gombe",패션/잡화,0.003$,30%,https://pay.verychat.io/shops/amacc
Rishirudra marketing,Gandhi chowk latur maharashtra 413512,기타,$0.0072,50%,https://pay.verychat.io/shops/OUbrF
511더치앤커피,부산 동구 고관로 135,식당/카페,10원,50%,https://pay.verychat.io/shops/MqWeR
KITCHEN UNTENSIL,Bauchi state,기타,50,50%,https://pay.verychat.io/shops/bCEGr
KOMAI SAUKI ENTERPRISE,Usman danga road opposite Nigeria immigration services zc Area zuru,패션/잡화,50 NAIRA,50%,https://pay.verychat.io/shops/QWHtn
Trader,Yola Main Market Adamawa State,기타,0.002,50%,https://pay.verychat.io/shops/gZBBS
A_I EXCHANGE,"QPRP+8CV, Fehintolu Block Industry, Adankolo New Layout, Lokoja, Adankolo, Lokoja",기타,10NGN,50%,https://pay.verychat.io/shops/oqBwU
Were & Walk,"Shop No 174, New Anand complex market, Top Floor The Mall  Road Solan ( H. P )",패션/잡화,0.62,50%,https://pay.verychat.io/shops/NBgmo
Ummuh meenal snacks&cake design for birthday,Sharada ja en layin gidan dagaci,가전/게임,50,50%,https://pay.verychat.io/shops/Kjgkf
Dj Keysile Enterprise,"Nkpor junction, Nkpor, Idemili L.G.A Anambra state",기타,10,20%,https://pay.verychat.io/shops/boazs
Apna Family Mart,Raiz colony Street No.1 Bhawalpur,미용,1.9pkr.0.1$,50%,https://pay.verychat.io/shops/YsaJC
Bhatti Karyana Store,"35GV+F37 Chowk, Zila Council Rd, Muzaffargarh",식당/카페,0.1,50%,https://pay.verychat.io/shops/uwpLX
Badmus Hammed,No 2 Endurance Street of Igbo Agbowa Ibeshe Ikorodu Lagos,기타,-,-,https://pay.verychat.io/shops/oZjkD
CHAUDHARY KIRANA STORE,"CHAUDHARY KIRANA STORE, COACHING MANDI,NEAR BRILLIANT CHEMISTRY, BAGHDULHAN, HAJIPUR, 844101, INDIA",기타,INR 10  $ 0.1,55%,https://pay.verychat.io/shops/QLkEA
Mk Toc Hairstyle 💇🏾‍♂️,Agbani road Amaechi road before Romchi hotel favour queen plaza filling station.,미용,0.0028$,50%,https://pay.verychat.io/shops/DsHOr
Kilaku Project,https://share.google/1bKjYSemGUVnj8uhQ,식당/카페,0.2$,50%,https://pay.verychat.io/shops/rgKcV
HAMIDA'S TURBANS AND HENNA DESIGNS,"5.2865871, -1.9861801",패션/잡화,0.10,15%,https://pay.verychat.io/shops/zenow
MM Pharmacy,Borno State Damboa Road,의료/건강,0.0012,50%,https://pay.verychat.io/shops/MzEFW
Plastic Ventures,Yola Market Adamawa State,기타,0.002,50%,https://pay.verychat.io/shops/wJFYy
쁘앙송,광주광역시 서구 화정로 253번길 24-1. 1층 매장,식당/카페,10원,100%,https://pay.verychat.io/shops/NYqBa
Alkko commercial company,"Unity block shop A1/010 Africa Tyre village, trade fair complex, badagry expressway Lagos",여행/숙박,0.005$,20%,https://pay.verychat.io/shops/GAVeL
Mini gas station,"C632+M7M Lembuak, Kabupaten Lombok Barat, Nusa Tenggara Bar.",사무기기,"0,9$ - 1,3$",100%,https://pay.verychat.io/shops/QqYCe
Depot Tenang,"Jl. Raya Mejono, Area sawah/kebun, bojong kidul, Palemahan, Kediri 64155",식당/카페,"$1,8",50%,https://pay.verychat.io/shops/zSpjl
Abhi palace,Gimbiya Street Sabon kawo,패션/잡화,50,50%,https://pay.verychat.io/shops/LRfmj
Darry concept graphics,Lautech Ogbomoso,기타,0.007,50%,https://pay.verychat.io/shops/OPbny
Johnis enterprise,Tumfure main market Gombe,가전/게임,0.1,100%,https://pay.verychat.io/shops/geJpn
성남컴퓨터서비스,성남시 중원구 하대원동 132-6번지 1층 위더스컴퓨터,사무기기,10원,100%,https://pay.verychat.io/shops/WxcFk
NS실용음악학원,"아산시 번영로115번길 20-14 Lk빌딩 5층 
010-4198-7170",취미/도서,10,50%,https://pay.verychat.io/shops/hFszg
배곧컴퓨터 다나와 시흥센터,경기 시흥시 서울대학로278번길 8 레드A 311호,사무기기,-,-,https://pay.verychat.io/shops/CvBnM
고기듬뿍대왕비빔밥,"경남 양산시 평산중앙로10 
고기듬뿍대왕비빔밥",식당/카페,5원,100%,https://pay.verychat.io/shops/vfIAj
Noeline's Shopping Point,"Polyclinic,Ho",패션/잡화,20,50%,https://pay.verychat.io/shops/WEqng
양지인쇄,도봉구 도당로 86,사무기기,7원,40%,https://pay.verychat.io/shops/Jyzak
Masum,Gohorpur. Balagonj.sylhet . Bangladesh,패션/잡화,1,100%,https://pay.verychat.io/shops/pvgNr
Abdullah Motors & Parts,"Dilimi street Jos plateau State, Nigeria.",기타,0.0028$,70%,https://pay.verychat.io/shops/RardG
군산빨간곱창,대구 달서구 장기로57서길 8,식당/카페,5원,100%,https://pay.verychat.io/shops/QwErT
Nadir Garnal Store,"Jamshoro, Sindh, Pakistan",기타,PKR 1.99,50%,https://pay.verychat.io/shops/BSHkB
이천억 해물이랑 고기랑,"서울특별시 마포구 월드컵로 105, 1층 (망원동)",식당/카페,30원,30%,https://pay.verychat.io/shops/TDUWo
